pokedexNumber,pokemonName,cardName,setExtra,set,cardNumber,language,note
1,Bisasam,フシギダネ,,M1L,064,Japanisch,
2,Bisaknosp,Bisaknosp,,MEG,134,,
3,Bisaflor,Bisaflor ex,,MEW,003,,
4,Glumanda,Glumanda,,SVP,044,,
5,Glutexo,Dark Charmeleon,,TR,032,Englisch,Set unsicher - Rocket
6,Glurak,Glurak-ex,PPS5,OBF,125,,
7,Schiggy,Schiggy,,SVP,48,,
8,Schillok,Dark Wartortle,,TR,46,Englisch,
9,Turtok,Turtok-ex,,MEW,9,,
10,Raupy,Raupy,,MEW,10,,
11,Safcon,Safcon,,MEW,11,,Reverse Holo
12,Smettbo,Smettbo VMAX,,DAA,2,,
13,Hornliu,Hornliu,,MEW,13,,
14,Kokuna,Kokuna,,MEW,14,,
15,Bibor,Dardargnan V,,ASR,001,Französisch,
16,Taubsi,Taubsi,PR,MEW,16,,
17,Tauboga,Tauboga,,OBF,163,,
18,Tauboss,Pidgeot-V,,LOR,188,Englisch,
19,Rattfratz,Rattfratz,,MEW,19,,
20,Rattikarl,Rattikarl,,POR,,,
21,Habitak,Habitak,,MEW,21,,
22,Ibitak,Ibitak,,MEG,103,,Reverse Holo
23,Rettan,Rettan,,MEW,23,,Reverse Holo
24,Arbok,Arbok-ex,,MEW,24,,
25,Pikachu,Pikachu,,SVP,27,,
26,Raichu,Raichu V,PPS3,BRS,45,,
27,Sandan,Sandan,,MEW,27,,
28,Sandamer,Sandamer,,MEG,069,,Reverse Holo
29,Nidoran♀,Team Rockets Nidoran♀,,DRI,114,,
30,Nidorina,Nidorina,,MEW,30,,
31,Nidoqueen,Nidoqueen,,MEW,31,,
32,Nidoran♂,Team Rockets Nidoran♂,,DRI,117,,
33,Nidorino,Nidorino,,MEW,33,,
34,Nidoking,Team Rockets Nidoking-ex,,DRI,119,,
35,Piepi,Lillys Piepi-ex,,JTG,56,,
36,Pixi,Pixi-ex,,OBF,82,,
37,Vulpix,Alola Vulpix VSTAR,,SIT,34,,
38,Vulnona,Vulnona-ex,,MEW,38,,
39,Pummeluff,Pummeluff,,PFL,76,,Reverse Holo
40,Knuddeluff,Knuddeluff-ex,,MEW,187,,
41,Zubat,Team Rockets Zubat,,DRI,120,,Reverse Holo
42,Golbat,Team Rockets Golbat,,DRI,121,,Reverse Holo
43,Myrapla,Myrapla,,MEW,43,,Reverse Holo
44,Duflor,Duflor,,OBF,198,,
45,Giflor,Giflor,,PFL,3,,Reverse Holo
46,Paras,Paras,,CRZ,GG32,,
47,Parasek,Parasek,,LOR,TG1,,
48,Bluzuk,Bluzuk,,MEW,48,,
49,Omot,Omot,,MEW,49,,Reverse Holo
50,Digda,Digda,,MEW,50,,Reverse Holo
51,Digdri,Digdri,,MEW,51,,Reverse Holo
52,Mauzi,Mauzi,,PFL,106,,
53,Snobilikat,Team Rockets Snobilikat-ex,,DRI,150,,
54,Enton,Enton,,MEW,54,,
55,Entoron,Entoron,,MEP,008,,Cosmo Holo
56,Menki,Menki,,PAF,45,,
57,Rasaff,Rasaff,,PAF,46,,Reverse Holo
58,Fukano,Fukano,,SVI,30,,Reverse Holo
59,Arkani,Hisui-Arkani V,,SIT,90,,
60,Quapsel,Quapsel,,MEW,60,,
61,Quaputzi,Quaputzi,,MEW,176,,
62,Quappo,Quappo,,MEW,62,,
63,Abra,Abra,,PAF,148,,Shiny Holo
64,Kadabra,Kadabra,,MEW,64,,Cosmo Holo
65,Simsala,Simsala-ex,,PAF,215,,
66,Machollo,Machollo,,MEW,66,,
67,Maschock,Maschock,,MEW,67,,Reverse Holo
68,Machomei,Machomei,,MEW,68,,
69,Knofensa,Knofensa,,MEW,69,,
70,Ultrigaria,Ultrigaria,,MEW,70,,
71,Sarzenia,Sarzenia,,MEW,71,,Reverse Holo
72,Tentacha,Tentacha,,MEW,72,,
73,Tentoxa,Tentoxa,,MEW,73,,
74,Kleinstein,Alola-Kleinstein,,JTG,44,,Reverse Holo
75,Georok,Alola-Georok,,GRI,41,,
76,Geowaz,Geowaz-ex,,MEW,76,,
77,Ponita,Ponita,,TEF,26,,
78,Gallopa,Gallopa,,MEW,78,,
79,Flegmon,Slowpoke,,PGO,19,Englisch,
80,Lahmus,Lahmus,,SVI,43,,Reverse Holo
81,Magnetilo,Magnetilo,,MEW,81,,Reverse Holo
82,Magneton,Magneton,PPS6,SSP,059,,
83,Porenta,Porenta,,BRS,115,,
84,Dodu,Dodu,,MEW,84,,
85,Dodri,Dodri,PPS5,MEW,85,,
86,Jurob,Seel,,CRZ,29,Englisch,
87,Jugong,Jugong,,LOR,34,,
88,Sleima,Sleima,,SVI,126,,Reverse Holo
89,Sleimok,Muk & Alolan Muk GX,,UNB,196,Englisch,
90,Muschas,Muschas,,FST,50,,
91,Austos,Cloyster,,FST,51,Englisch,
